yield,R90,"eth_conc_vol",T,νs/νFe
2.02588,11186.88704,0.1,1000,0.3
1.72676,7314.53644,0.1,1025,0.3
3.17406,18758.69195,0.1,1050,0.3
3.34791,3732.92062,0.1,1075,0.3
5.15763,8143.89066,0.1,1100,0.3
